,name,type,price,expert_score,user_rating,distillery_loc,description,age,abv,style,cask,review,smoky,peaty,spicy,herbal,oily,full-bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
187,"
Woody Creek Colorado Straight Rye Whiskey
",Rye,"['cost-2', 'spirit-cost']","
94

",3.58,"
Woody Creek // Colorado, USA
","Made from a mashbill of 100% rye (sourced in Colorado) this rye is produced in the mountain town of Basalt. A grain-to-bottle distiller, this is distilled in their custom-built Carl stills and aged a minimum of two years in new white American oak. In addition to their rye, they also produce a couple of vodkas and a gin.  ",NAS,45.0,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","charred, new white American Oak","""The rye is light gold with hints of amber. An earthy, sweet bouquet with notes of orange, cinnamon, and butterscotch greet you on the nose. As you taste, rye spice is evident on the initial attack with caramel, oak, and a slight pine flavor. Well-rounded, incredibly smooth, with balanced spice throughout. """,15,15,40,10,0,50,55,20,0,0,15,0,15,20
188,"
Lost Spirits Leviathan I Single Malt 
",American Single Malt,"['cost-3', 'spirit-cost']","
94

",3.16,"
Lost Spirits // California, USA
","Leviathian I is a single malt peated at a level of 110 ppm. Canadian-cut peat is used to smoke the Californian organic barley and is distilled in a custom-made wooden pot-still. This, the first release, Leviathan I, is matured in Californian late-harvest cabernet sauvignon casks. These casks were French oak, 53-gallon casks. Very limited availability. 

",NAS,53.0,"Made in the USA from 100% malted barley. Distilled at one distillery. Matured in oak casks no larger than 700L. Distilled to no higher than 160 proof (80% ABV). Bottled at 80 proof (40% ABV) or higher. (This is the proposed Standard of Identity by the American Single Malt Whiskey Commission.)

",French oak ex-late harvest California cabernet sauvignon,"""Right off the bat, this whisky packs a wallop! Chocolate and rich black earth are the first aromas out of the gate, followed quickly by tanned leather book-covers and a slightly gamey note. Upon sipping this monster of a dram, the bitter chocolate and roasted game notes co-mingle, almost reminiscent of grilled meat with a mole sauce. Spicy chili pepper and a malty sweetness complete the ensemble. The finish is of medium length and the sweet malt is tamed by a bitter chocolate note. Wow. A challenging dram, not for the faint of heart, but well worth seeking out! """,80,80,60,10,55,60,55,40,10,10,25,0,15,20
189,"
Stauning Peated Whisky (5th Edition)
",Peated Single Malt,"['cost-4', 'spirit-cost']","
94

",3.5,"
Stauning Whisky // Denmark
","Made from barley malted at the distillery and peated via peat excavated from near the Klosterlund Museum, the Stauning Peated is a self-claimed ""whisky that appeals to Islay fans."" The whisky is matured in first fill former Maker's Mark barrels and stored with ample airflow so the region becomes a part of the final product as well. Not available in the US.",NAS,51.1,100% malted barley from a single distillery. Dried with peat.,ex-bourbon,"""The smell of a forest after a rain, wet leaves, and brine take precedence in the first impression of this whisky followed with a wisp of smoke. The smoke comes to the forefront--gently--with a curiously herbal quality, almost as though the smoke were from burning sage. As it sits, vanilla and dark chocolate come out; water brings up the salt and peat.""",75,75,60,65,85,65,50,60,75,60,55,0,10,0
190,"
Stauning Kaos Danish Whisky 
",Blended,"['cost-5', 'spirit-cost']","
94

",3.86,"
Stauning Whisky // Denmark
","Using a name based in Danish history, the Stauning Kaos is a reference to the 1935 Prime Minister election in which Thorvald Stauning used the phrase ""Stauning or Chaos"" to win reelection. The Stauning Distillery has decided to bring you both Stauning and Kaos by blending their Traditional, Peated, and Young Rye whiskies together in a curious marriage. Very limited availability. Not available in the U.S. ",NAS,54.3,Comprised of both single malt(s) and single grain(s) often from many different distilleries; if Scotch or Irish must be aged for at least three years in oak barrels; Irish may include single pot still whiskey in the blend.,,"""The nose starts sharp and grain heavy, with a dried herbal note that sets a beautiful tone for the first sip. Its mild front precedes a mouthwatering savory sage and pine flavor that's barely sweet. Exhaling is where the smoke rolls in and it stays behind for a long lasting, satisfying tingle. Chaotic? Maybe. Delicious? Certainly.""",50,50,65,75,85,70,40,35,0,10,25,0,15,20
191,"
Four Roses Limited Edition Bourbon Elliott’s Select (2016)
",Bourbon,"['cost-4', 'spirit-cost']","
94

",4.55,"
Four Roses // Kentucky, USA
","Hitting shelves in June 2016, Elliott's Select is the first release from the new Four Roses Master Distiller, Brent Elliott, who took over the reins following Jim Rutledge's retirement in September 2015. His namesake release is a barrel-strength, limited-edition single-barrel bottling of 14-year-old bourbon. It's made using the distillery's OESK recipe with a mashbill of 75% corn, 20% rye, and 5% malted barley. Only 8,000 bottles were produced.",14 Year,58.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Big, rich nose, with vanilla, char, and notes of corn, with oak, rye spice, and a slightly herbal undertone. More sweetness comes through on a smooth palate, with caramel and brown sugar up front.  It is well-balanced with a drier, oaky influence, and spice. Finish comes in with dry oak, leading to burnt caramel, dark chocolate, and maple syrup with cedar, spice, and a touch of smoke. A delightful, bold bourbon's bourbon.""",20,20,60,30,20,70,70,60,0,0,70,10,0,0
192,"
Booker's Rye Whiskey Big Time Batch (2016 Release)
",Rye,"['cost-5', 'spirit-cost']","
94

",4.73,"
Booker's // Kentucky, USA
","Laid down by the man Booker Noe himself in 2003, this is a rare rye whiskey from the Booker's label distilled at the Beam Distillery in Clermont, Kentucky. Booker Noe was the Master Distiller at Beam from 1960 to 1992, when he handed off the reigns to his son, Fred Noe. This rye was part of a small batch experiment of about one hundred casks that Booker stowed away in his favorite rack houses, D & E, both of which see sun-exposure throughout the day. These are some of the last casks filled by Booker before his death in 2004. ""Big Time Batch"" is uncut and unfiltered at an irascible 68.1% ABV and aged for precisely 13 years, 1 month and 12 days.",13 Year,68.1,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","new, charred American oak","""""Big Time"" is appropriate as the nose bursts with rye spice and indications of heat from that skyscraping proof. Also find dark brown sugar, oak, and a brownie-like chocolate. ""Big Time"" strikes again with a bold palate that needs to be sipped twice before flavors start settling in which in part consists of rye spice, oak, nutmeg, cloves and vanilla. The hot finish lingers indefinitely. Open it up with water to reveal butterscotch and to soften the profile, and then cool it down and tame the beast with an ice cube to elevate a rich sweetness to the forefront.""",30,30,80,10,50,80,70,60,0,0,50,20,0,0
193,"
Lagavulin Fèis Ìle 2015
",Peated Single Malt,"['cost-5', 'spirit-cost']","
94

",4.29,"
Lagavulin // Islay, Scotland
","Lagavulin celebrates the annual Fèis Ìle celebration with a limited edition release. Their 2015 expression was a 24 year-old gem bottled at a robust 59.9% ABV. The spirit was triple-matured, with all of the liquid moving from ex-bourbon casks to ex-Pedro Ximénez sherry, and then into old puncheon barrels. 3,500 bottles were in the release; a larger offering is planned for the 2016 edition after the clamor over its predecessor.
",24 Year,59.9,100% malted barley from a single distillery. Dried with peat.,"ex-bourbon, ex-Pedro Ximénez sherry, used puncheon barrels","""The nose offers honey and apricot, along with salt, and some fiery heat from its cask strength. A rich, sweet palate also showcases its heritage with nuttiness from the sherry casks, and toffee and dark chocolate from the bourbon casks. On the finish, some black pepper and spice arrive, along with honey, and campfire smoke. Overall, less fruit and smoke than most Lagavulin releases, with wood factoring in more heavily.
""",40,40,30,10,10,60,70,60,30,40,50,10,30,20
194,"
Lock Stock & Barrel Straight Rye Whiskey 16 Year
",Rye,"['cost-4', 'spirit-cost']","
94

",4.48,"
R.J. Cooper & Son // Canada
","The 16 year old from Lock, Stock & Barrel builds on the tradition of their 13 year old. It's a 100% rye mashbill, double pot-distilled straight rye whiskey, made with what they term a ""robust cut"" of distillate, expecting the lengthy aging period to come. Maturation was entirely in new, charred American oak barrels. Cooper Spirits chose their finest aged rye casks for this release.",16 Year,53.5,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","new, charred American oak","""The nose weaves between rye spice and black pepper, and brown sugar and vanilla. Dry oak and pine - both wood and needles - enter on the palate, along with a hefty dose of spice, medicinal notes, and leather. There's an underlying rich sweetness too, as well as baking spices such as cloves and nutmeg to match the rye spice. The finish bursts open, briefly hot but very long lasting, with molasses, mint, licorice, oak, more medicinal notes, and pepper. Open it up with some water, and the palate and finish showcase an even heartier layer of licorice, medicinal and minty notes.""",20,20,80,70,20,70,50,40,0,0,40,30,20,20
195,"
Teeling Distillery Exclusive 23 Year Single Malt
",Single Malt,"['cost-5', 'spirit-cost']","
94

",4.75,"
Teeling // Ireland
","This Teeling Distillery Exclusive is 23 years old, and has been fully matured in ex-Oloroso sherry hogshead casks. The whiskey itself was made with crystal malt, said to bring more toffee sweetness to the malted barley. This bottling is currently available as one of two whiskey's at the distillery's fill your own bottle station, and sells for approximately 250 Euros.",23 Year,52.5,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-oloroso sherry hogshead,"""The nose offers a hefty sherry influence, with dried and candied fruits, nuts, and raisins. The palate leads down the same path, with plums, figs and additional red fruits, all big Oloroso sherry. A long finish on a rich and full dram, closing notes of vanilla and honeyed fruits. It's an after-dinner sipping whiskey meant to be savored, and a very well-aged Irish offering in the realm of an Aberlour A'bundah.""",0,0,20,0,20,80,80,60,0,0,30,20,40,20
196,"
Forty Creek Port Wood Reserve
",Canadian,"['cost-3', 'spirit-cost']","
94

",4.68,"
Forty Creek // Ontario, Canada
","This edition of Forty Creek’s Port Wood Reserve was released in 2012 with a 6,000 bottle run. John Hall took his already mature whisky then aged them in port barrels. And not just any port barrels. John Hall took local Niagara grapes to make his own tawny-style fortified wine that he aged for ten years in heavily charred new white oak barrels. The whisky interacted with the seasoned wood for two and a half years.",NAS,45.0,"DISTILLED IN CANADA AND AGED IN BARRELS FOR AT LEAST THREE YEARS; OFTEN (BUT NOT ALWAYS) CANADIAN WHISKIES ARE BLENDS OF CORN, BARLEY, AND RYE WHISKIES WHICH WERE DISTILLED AND MATURED SEPARATELY. TRADITIONALLY, CANADIAN WHISKEY IS CALLED “RYE”, ALTHOUGH NO MINIMUM PERCENTAGE OF RYE-GRAIN WHISKY IS REQUIRED IN A BLEND.",finished in Canadian-tawny-port-style wine barrels,"""Your senses first see a deep, resonant copper color before the seduction continues on the nose where a little spice develops into a complex mix of dried fruits. The sweet vanilla flavor of the whisky take a sharp turn with a full-bodied balance of round smoky oak, hot spices, and distinguished dried fruits. Peppery ginger spice walks into a long graceful finish. Expect wolf whistles and leering eyes while holding a bottle of this beautiful whisky.""",40,40,45,0,0,65,60,55,10,0,45,20,65,30
197,"
Old Forester Birthday Bourbon 2014
",Bourbon,"['cost-3', 'spirit-cost']","
94

",4.43,"
Old Forester // Kentucky, USA
","Since 2002, Old Forester has released an annual, limited edition 12 year-old bourbon on September 2nd, the birthday of founder George Garvin Brown. ",12 Year,48.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Be prepared for a ton of spice on this one! Chocolate covered caramels mixed with cinnamon are the first aromas out of the glass, followed by a slightly herbal or medicinal note. The palate, on the other hand exhibits a spiced caramel (think chilies instead of cinnamon). Vanilla and toffee dominate after the initial hit of caramel spice, with a pleasant burn down the throat. Always a treat to have. """,20,20,60,35,5,45,40,30,0,0,60,0,15,15
198,"
Crown Royal Noble Collection Cornerstone Blend
",Canadian,"['cost-3', 'spirit-cost']","
94

",3.95,"
Crown Royal // Ontario, Canada
","Crown Royal Cornerstone Blend is the first limited edition release in an annual series known as the Noble Collection. Released in April 2016, Cornerstone Blend consists of three whiskies originally safeguarded by Crown Royal at their Valleyfield warehousing before being married together: 61% of a ""bourbon-style"" whisky with a 60% corn, 36% rye and 4% malted barley mashbill, 6% of Coffey rye featuring the same mashbill but made on Crown's Coffey still, and 33% of a high-rye whisky, at 96% rye, 4% malted barley. The youngest whisky in the blend is 8 years.",NAS,40.3,"DISTILLED IN CANADA AND AGED IN BARRELS FOR AT LEAST THREE YEARS; OFTEN (BUT NOT ALWAYS) CANADIAN WHISKIES ARE BLENDS OF CORN, BARLEY, AND RYE WHISKIES WHICH WERE DISTILLED AND MATURED SEPARATELY. TRADITIONALLY, CANADIAN WHISKEY IS CALLED “RYE”, ALTHOUGH NO MINIMUM PERCENTAGE OF RYE-GRAIN WHISKY IS REQUIRED IN A BLEND.",,"""Cornerstone offers an oaky nose, with baking spices and cloves, rye spice, and a light fruitiness. The palate is creamy, and starts soft before offering a more robust rye-spice backbone, along with cherries, vanilla, berries, and red apples. The finish is pleasant and long lasting, offering more baking spices, fruits and oak for a smooth and well-balanced ride from start to finish. """,10,10,70,10,10,70,60,50,0,10,50,30,60,10
199,"
Laphroaig Lore
",Peated Single Malt,"['cost-4', 'spirit-cost']","
94

",4.36,"
Laphroaig // Islay, Scotland
","Released in spring 2016, Lore is a no-age statement whisky created by John Campbell, Distillery Manager, and their blending team to represent over 200 years of the company's knowledge and traditions, which have been passed down through the generations of distillery managers and custodians, ""our story, bottled."" The whisky, which they consider to be ""the richest ever Laphroaig"" is created using a combination of different ages of whiskies (some from as far back as vintage 1993) and types of casks ranging from first-fill sherry, first-fill bourbon, refill bourbon, and whisky finished in European ex-sherry hogshead casks. It is bottled at 48% ABV.",NAS,48.0,100% malted barley from a single distillery. Dried with peat.,"first-fill sherry, first-fill bourbon, refill bourbon, and whisky finished in European ex-sherry hogshead","""Roasted nuts, briny peat and vanilla greet the nose. The palate contains that telltale, medicinal, maritime campfire smoke and salty richness Laphroaig is known for, proudly holding court above all else. A couple of drops of water reveal dried dates, figs, apricot, toffee, cocoa and spiced accents of ginger, cardamom, fennel, clove, cinnamon and cedar. The flavors stay generously long on the palate, finishing with a smoky-salty, warm heat. This is a perfect cool weather whisky that begs for fireside sipping. """,70,70,35,40,20,80,80,50,60,30,20,10,40,15
200,"
Royal Brackla 21 Year
",Single Malt,"['cost-5', 'spirit-cost']","
94

",4.27,"
Royal Brackla // Highlands, Scotland
","The eldest of three recent Royal Brackla releases, the 21 year old heads up the distillery's new single malt lineup. Touted as The King's Own Whisky since receiving a royal warrant in the early 19th century, Royal Brackla is known for both its long fermentation period and tall, slowly run stills, producing a profile rich in esters and their fruity notes.",21 Year,40.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",oloroso sherry butts,"""The nose is ripe with tropical fruits like papaya and guava, along with sherry, grassy and hay notes, and a light touch of smoke in the background. The palate offers more sherry along with an accompanying nuttiness, honey, and an overall rich, full profile, with a moderately oily mouthfeel. The finish is luxuriously rich and smooth, with caramel, more honey and sherry, and a return of those tropical fruits at the tail end, completing the cycle and asking you to start anew. """,20,20,10,20,50,70,70,50,0,0,40,0,50,30
201,"
Booker’s Bourbon Batch 2016-01 “Booker’s Bluegrass”
",Bourbon,"['cost-3', 'spirit-cost']","
94

",4.28,"
Booker's // Kentucky, USA
","Booker Noe, former master distiller of Jim Beam and founder of Booker’s Bourbon, loved bluegrass music as much as he loved whiskey. Booker’s Bluegrass is the first in the series of six releases in 2016 to honor the life of the man who helped revitalize the bourbon industry. This is aged for just under seven years, comprised of barrels pulled from seven rickhouses, and bottled at 127.9 proof.","6 years, 11 mo",63.95,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Booker's Bourbon is bottled uncut with any water, and with its high-proof most drinkers will want to add at least a little ice or water. The bourbon tastes of oak and vanilla when served neat, but it runs too hot to pick up much more nuance than that. With some dilution it offers notes of leather and tobacco. Bottom line: Booker's is a classic for a reason, and this batch is no exception. Pour it over a big ice cube and enjoy.""",15,15,60,0,40,70,60,30,5,0,40,0,15,0
202,"
Charbay Hop Flavored Whiskey Release III
",Other Whiskey,"['cost-5', 'spirit-cost']","
94

",4.19,"
Charbay // California, USA
","One of several entries into Charbay’s catalog of whiskey distilled from beer, this is the third release from Charbay’s 1999 series. It is comprised of 10 barrels of whiskey distilled from Pilsner beer 15 years ago. The whiskey then spent six years in new #3 “gator skin” char American oak barrels, then 8 additional years in neutral vessels before bottling.",nas,66.2,"A spirit distilled from a mash of grain(s) at less than 95% ABV, bottled at no less than 40% ABV. The product must have characteristics, taste, and aroma generally attributed to whiskey",new #3 “gator skin” char American oak barrels and neutral vessels,"""There's almost a cognac-like elegance to the nose of this whiskey. The palate is quite hot and the flavors are massively concentrated. There's deep espresso, savory and floral hops, and secondary citrus flavors. A bit of water is a must. With a few drops, everything comes alive, particularly the hops which are clear and present all the way into the never-ending finish. This is a must for lovers of hoppy beer and those looking for something completely outside the box.""",60,60,70,90,20,70,70,40,20,20,20,60,60,80
203,"
Charbay Hop Flavored Whiskey R5 Lot No. 3
",Other Whiskey,"['cost-3', 'spirit-cost']","
94

",3.67,"
Charbay // California, USA
","One of several entries into Charbay’s catalog of whiskey distilled from beer, this is the third lot of the R5, a whiskey double-distilled Bear Republic Brewery's Racer 5 IPA. This lot was distilled in 2012 and bottled in 2014. It has been aged 28 months in French oak.",NAS,49.5,"A spirit distilled from a mash of grain(s) at less than 95% ABV, bottled at no less than 40% ABV. The product must have characteristics, taste, and aroma generally attributed to whiskey",French oak,"""There's a nose of freshly baked rye bread, wintergreen, and yes, hoppy India pale ale. On the palate, there's a burst of freshness and floral bitterness that fans of IPAs are crazy about. There's a backbone of chewy ginger and well-integrated sweetness. The finish is long, full of delicious hops, and refreshing grains. Wildly complex and unlike any other spirit on the market.""",6,6,70,80,20,70,70,70,20,20,10,40,40,80
204,"
Säntis Malt Appenzeller Single Malt Edition Dreifaltigkeit
",Peated Single Malt,"['cost-3', 'spirit-cost']","
94

",4.03,"
Säntis Malt // Appenzell, Switzerland
","Säntis Malt is produced by the Locher family, who has a long history of brewing beer in Switzerland. Their Edition Dreifaltigkeit is a cask-strength peated single malt aged in old oak beer casks. The peat used to dry the barley comes from the nearby upland moor.",NAS,52.0,100% malted barley from a single distillery. Dried with peat.,Old Oak Beer Casks,"""The aroma of smoked bacon is the first thing that comes to mind nosing this single malt, and the Dreifaltigkeit is indeed a meaty whisky. It's pungent and burly, with a roasty smokiness that's distinctively different from the briny peat of Islay. Though rich in color, the barrel ageing provides more char and mellowing sweetness than any over the top vanilla notes. It's a unique dram, and one that Smokeheads will take great pleasure in sipping by the fire.""",70,70,40,0,50,60,60,30,10,10,20,0,10,0
205,"
Woodford Reserve Master's Collection 1838 Style White Corn Bourbon
",Bourbon,"['cost-4', 'spirit-cost']","
94

",3.67,"
Woodford Reserve // Kentucky, USA
","Woodford Reserve's annual “Master's Collection” release is produced in honor of Woodford's early 1800s distillery owner Oscar Pepper and master distiller James Crow. Its 1838 Style White Corn, the tenth release in the series, replaces the typical yellow corn used for bourbon with a white corn, along with other grains.",NAS,45.2,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""In comparison to some past Master's Collection releases, such as those aged in Sonoma-Cutrer wine barrels, this year's (2015) bourbon made with white corn instead of yellow is a subtle departure from tradition. “Subtle” is a good descriptor for this bourbon, too. It's soft on the palate, light-bodied, a little bit floral, and has a lingering vanilla finish. It's a restrained bourbon, not bombastic in any dimension, and a delightful whiskey to sip neat.""",0,0,20,10,20,40,30,50,0,0,40,10,30,30
206,"
Laphroaig Cairdeas 200th Anniversary Edition 
",Peated Single Malt,"['cost-3', 'spirit-cost']","
94

",4.43,"
Laphroaig // Islay, Scotland
","Once a year, Laphoraig Master Distiller, John Campbell, creates a blend to celebrate the distillery's special friendship (the meaning of ""cairdeas"" in Gaelic) with fans. The 2015 release was made using only the production's smaller stills, and from whisky stored exclusively in the No. 1 Laphroaig warehouse.  As it's their 200th anniversary year, this is Campbell's interpretation of the style in which that whisky would have been produced back then.",NAS,51.5,100% malted barley from a single distillery. Dried with peat.,,"""This year's release is bolder and more intensely concentrated than the previous one. Salt and brine of the Islay shore barge in with strong gusts of phenol smoke. Fresh orchard fruit, coffee and dark caramel (almost like a candy apple) hold the foundation down. It's truly fall in a glass, meant to be sipped slowly with a drop of water to draw out all the elements.""",70,70,0,10,20,80,80,60,30,20,40,0,60,10
207,"
Glenmorangie 1970's Collection '71
",Single Malt,"['cost-5', 'spirit-cost']","
94

",4.5,"
Glenmorangie // Highlands, Scotland
","The first member of the Glenmorangie 1970s Collection hails from a distillation from New Year's Eve 1971. Much of that whisky was originally released in 1993 to celebrate the distillery's 150th anniversary, while some stock was kept and aged longer. This release was bottled and sold in December 1998, at 26 years old. Dr. Bill Lumsden estimates that 40% of the whisky used in this particular release was aged in sherry casks, and 60% in bourbon casks. 
",,43.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.","ex-bourbon, ex-sherry","""Deep sherry, raisins and nuttiness on the nose, with a distinctive funky sherry rancio. Find a velvety smooth palate with more dark sherry flavors, nuttiness, dates, cherries and other red fruits. There are also earthier notes and some more of that funk, with an intermingling sweetness of toffee and butterscotch. A short, warm finish invites you back in for another sip. 
""",20,20,10,0,20,80,80,50,0,0,30,20,50,10
208,"
Glenmorangie 1970's Collection '76
",Single Malt,"['cost-5', 'spirit-cost']","
94

",5.0,"
Glenmorangie // Highlands, Scotland
","January 21st, 1976 marked the first flight of the supersonic Concorde airplane. Glenmorangie set aside four casks of whisky distilled on that day for a special release. This whisky was still made with the distillery's own maltings before it would be closed in June of that year. The majority of the Concorde casks were bottled as a 15 year old in 1991, to commemorate the 15th anniversary of that first flight. However, a highly limited supply lingered in the casks for four more years, bottled in 1995 as 19 year old whisky. That whisky was never released, until joining the 1970s Collection. ( Note:  This tasting is from the closest approximation Glenmorangie release that Dr. Bill Lumsden could find to match the '76 which is included in the 1970s Collection. None of that specific whisky was available to taste, so this whisky was used as a stand in.)
",,43.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",,"""Find big sherry on the nose, with lighter, tropical fruits and melon, caramel, oak, and floral notes. The palate offers prominent spice, with an oily profile, red fruits, nuttiness, baking spices, and brown sugar. Finish is dry and astringent, with oak, spice and black pepper.

""",20,20,60,40,50,60,50,30,0,0,30,20,50,50
209,"
Heartwood The Revelation Single Malt
",Peated Single Malt,"['cost-5', 'spirit-cost']","
94

",3.0,"
Heartwood // Tasmania, Australia
","The Heartwood brand is a Tasmanian independent bottler that bottles whiskies from Tasmanian distilleries, quite often Lark and Sullivans Cove. Each batch is limited in number, with each bottle being numbered so you can keep track. This bottling is a Lark whisky, matured in Port cask for 4 years than ex-Bourbon for an additional 6. Only 230 bottles were released, this tasting being bottle 89. (Note:  This is not available in the US.)
",10 Year,62.5,100% malted barley from a single distillery. Dried with peat.,ex-port & ex-bourbon,"""The nose opens with vanilla-soaked cinnamon that escapes the prickling alcohol, and quickly moves to chocolate-covered berries, orange zest, grass, and honey. The charred oak finishes the nose comfortably. Hot in the mouth (it is, after all, 125 proof) with an incredibly wet syrup quality there’s an impressive balance of grass and chocolate.  Floral caramel and sherried nuts are supported by the vanilla and oak, with a small hint of charred smoke at the end. The finish is long and reminiscent of toffee apples and sweet sugars. An incredible whisky.
""",40,40,40,20,40,50,60,70,20,20,70,30,60,50
210,"
Laphroaig 10 Year Cask Strength Batch 005
",Peated Single Malt,"['cost-3', 'spirit-cost']","
94

",4.03,"
Laphroaig // Islay, Scotland
","Starting in 2009, Laphroaig began releasing special cask strength batches of their ten year old whisky. Originally bottled in February of 2013, this is the fifth release. This is nearly the same whisky that you'll find in the standard 10 year old offering from Laphroaig, but is bottled at cask strength, undiluted, and non-chill-filtered. 
",10 Years,57.2,100% malted barley from a single distillery. Dried with peat.,,"""Fans of the standard Laphroaig 10 year who crave... more, will be pleased to find that's precisely what this cask strength bottling offers. Massive smoky peat aromas lead to a palate of fireplace, sweet cinnamon, iodine, smoked fish and meats, and fresh lemon rind. The finish is long and will please any lover of smoky whisky. The whisky is a pleasure to drink neat, but adding a bit of water opens things up and some dried fruit and nuts start to emerge.
""",100,100,60,70,50,80,60,40,90,40,30,60,40,60
211,"
Octomore 06.1/167 Scottish Barley
",Peated Single Malt,"['cost-4', 'spirit-cost']","
94

",4.39,"
Octomore // Islay, Scotland
","This sixth edition of the Octomore, the world's most heavily peated Scotch whisky at 167ppm of phenols is matured for 5 years before being bottled at a hefty 57% abv. Named after Octomore farm, situated on a hill above Port Charlotte on Islay, this whisky pushes the boundaries of how Scotch whisky is traditionally made. 
",nas,57.0,100% malted barley from a single distillery. Dried with peat.,,"""The bouquet has big notes of smoke and peat, tempered by a layer of sweetness, vanilla, Jordan almond and honey being most evident. On the palate, notes of apple, pear, cinnamon and lemon peel are evident through a huge smoke flavor that, surprisingly, doesn't dominate this whisky. While the smoke and peat flavors are giant, the sweetness of the fruit notes gives this whiskey great balance. The finish is long, lingering and smoky.
""",100,100,40,10,40,100,60,60,20,20,60,10,80,20
212,"
Highland Park 21 Year
",Peated Single Malt,"['cost-5', 'spirit-cost']","
94

",4.34,"
Highland Park // Islands, Scotland
","This 21 Year was only available in Global Travel Retail markets when it debuted in 2007. It has since been made available in many global markets, though not in the US. The popularity of this bottling caused, for a short time, the proof to be lowered to 80 due to stock shortages.  In 2012, this wrong was righted and is now back at 95 proof. It is aged predominately in American ex-sherry casks.",21 Year,47.5,100% malted barley from a single distillery. Dried with peat.,primarily American ex-sherry casks,"""Maple syrup with hints of tropical fruits such as mango and pineapple attack your senses. Vanilla and cherry appear after a little time in the glass. The whisky is full on your palate with a moderate amount of barrel spices, though they are rounded out and balanced with the sweet notes. The finish shows more spice, a touch of char, and slight peated smoke notes. This is a solid whisky from Highland Park.""",15,15,65,10,10,60,65,50,5,5,35,10,40,10
213,"
I.W. Harper Straight Bourbon 
",Bourbon,"['cost-2', 'spirit-cost']","
94

",3.57,"
I.W. Harper // Kentucky, USA
","I.W. Harper is a brand that has existed since the 1870s, founded by Isaac Wolf and Bernard Bernheim. The name of their distillery is Bernheim, but the name ""Harper"" actually comes from the owner of a Kentucky Derby horse the brothers took a liking to. Though Bernheim has continuously operated since it first opened in some capacity, even during Prohibition when it made ""prescription"" whiskey, and in the 70s and 80s, the brand was allocated to the Asian market till now. This straight bourbon is a blend of whiskeys aged between 4 and 20 years at the Stitzel-Weller warehouse, with a mash bill of 73% corn, 18% rye and 9% malted barley.",NAS,41.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Perhaps owing to the blending of some rather mature whiskeys along with younger ones, this is a thoroughly well balanced bourbon. At first the banana, caramel, vanilla and sweet floral flavors might seem heavy handed, but after a few sips, it becomes more luscious and juicy. Strawberry, corn cereal, allspice, clove, nutmeg and black pepper round out the long, lingering finish. Welcome back to the U.S. of A., I.W. Harper!""",5,5,40,5,10,80,80,75,0,0,30,10,60,10
214,"
Jura 1984
",Single Malt,"['cost-5', 'spirit-cost']","
94

",4.05,"
Jura // Islands, Scotland
","This vintage-dated whisky was bottled in 2014 making this a 30-year old whisky. It was aged in a combination of American white oak, and Amoroso and Apostoles ex-sherry butts. It was created to honor the novelist, George Orwell who wrote his dystopian novel, ""Nineteen Eighty-Four"" while he was visiting the Isle of Jura in 1947-48. Only 1984 bottles were created.",30 Year,44.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.","American white oak, Amoroso and Apostoles ex-sherry butts","""Rich dried fruits appear on the nose with a bit of that sherry-funk quality that is a bit oxidized and smoky. The whisky is considerably creamy, like you can almost cut it with a knife. Malty, chocolaty, and vanilla notes are on the palate and the finish is on the woody and chewy side.""",20,20,60,20,40,90,90,80,20,20,50,30,80,40
